a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,label,action_name
328.00,605.00,156.00,616.00,31.00,31.40,60.33,50.87,46.65,47.90,14.15,16.62,48.00,32.92,72.46,108.07,152.28,19.99,30.92,63.95,43.00,8.56,24.14,37.64,80.62,62.75,4.14,8.75,2.00,67.90,119.38,231.75,285.88,79.99,72.28,10.40,10.00,10.41,7.21,33.16,45.28,2.69,12.96,15.51,0.00,0,휴식 (Relax)
328.00,583.00,140.00,551.00,24.00,29.54,72.89,55.83,33.94,37.46,7.95,27.41,32.00,32.92,72.46,108.07,152.28,19.99,30.92,63.95,43.00,11.96,29.14,41.24,76.06,58.60,0.86,11.24,7.00,33.30,76.39,188.89,327.06,121.74,99.71,45.09,53.00,6.19,9.00,25.63,49.24,12.46,20.22,13.62,15.00,0,휴식 (Relax)
320.00,561.00,140.00,561.00,31.00,32.40,65.05,47.84,40.00,42.61,15.77,35.29,24.00,24.75,21.08,108.26,142.00,39.61,67.46,75.96,12.00,10.41,25.85,36.81,78.29,59.90,5.64,15.90,12.00,76.85,60.45,181.54,315.19,130.62,23.96,33.28,24.00,14.12,16.59,32.25,42.06,12.43,12.28,9.48,7.00,0,휴식 (Relax)
328.00,594.00,145.00,616.00,42.00,38.88,61.08,45.96,35.78,35.31,10.48,27.59,32.00,35.75,22.89,119.17,131.00,33.93,57.11,67.03,1.00,22.39,32.82,42.37,63.82,42.99,14.16,1.71,5.00,65.87,50.36,170.99,326.19,141.62,21.96,44.16,35.00,4.33,15.08,22.80,50.25,26.42,11.94,11.64,7.00,0,휴식 (Relax)
328.00,594.00,162.00,638.00,33.00,23.27,58.04,33.35,50.60,39.81,21.72,18.59,48.00,14.57,14.41,106.92,135.09,61.62,53.41,36.43,32.00,4.90,6.67,16.06,82.46,37.82,40.14,28.56,32.00,42.18,53.09,132.50,337.41,140.15,82.85,63.70,63.00,8.08,19.74,26.11,46.69,24.78,7.09,10.52,2.00,0,휴식 (Relax)
328.00,572.00,140.00,551.00,26.00,9.19,40.25,12.37,50.60,8.48,13.11,35.02,16.00,14.57,14.41,106.92,135.09,61.62,53.41,36.43,32.00,19.00,8.61,21.75,73.93,23.52,33.64,15.52,17.00,53.07,63.10,142.38,326.79,129.17,77.08,52.71,52.00,1.28,13.84,19.88,52.01,30.71,3.24,14.71,5.00,0,휴식 (Relax)
320.00,561.00,140.00,551.00,28.00,17.16,33.45,20.14,43.08,11.33,5.74,31.04,24.00,24.59,43.03,80.53,146.69,79.93,21.97,68.85,1.00,15.00,5.37,17.13,78.29,20.30,36.43,14.06,12.00,19.68,71.02,104.09,349.76,116.73,114.33,28.33,13.00,12.75,18.74,26.00,44.78,21.70,11.43,4.75,9.00,0,휴식 (Relax)
288.00,561.00,130.00,561.00,36.00,18.26,65.22,26.86,62.48,28.92,31.54,44.14,56.00,63.46,84.22,104.68,109.20,42.33,54.64,37.98,43.00,23.87,28.52,31.90,69.87,22.80,11.24,26.17,38.00,95.43,147.45,167.54,282.40,49.67,38.15,54.30,64.00,10.08,15.75,23.17,47.54,23.75,13.42,4.59,12.00,0,휴식 (Relax)
328.00,616.00,145.00,638.00,39.00,18.26,65.22,26.86,62.48,28.92,31.54,44.14,56.00,40.18,72.53,65.79,140.25,71.53,82.18,57.34,87.00,23.87,28.52,31.90,69.87,22.80,11.24,26.17,38.00,32.41,101.58,120.97,330.28,35.18,66.39,124.52,141.00,12.06,11.10,27.22,44.10,11.65,19.87,16.18,3.00,0,휴식 (Relax)
328.00,605.00,151.00,605.00,31.00,11.12,66.39,28.85,68.82,36.36,31.12,36.14,48.00,66.72,108.55,87.17,118.11,42.97,88.32,21.26,43.00,13.19,28.74,35.94,69.00,33.78,18.87,25.87,27.00,71.24,141.45,172.43,287.00,42.92,17.55,83.42,76.00,14.92,13.83,30.19,41.11,10.38,16.87,13.20,0.00,0,휴식 (Relax)
320.00,561.00,140.00,561.00,31.00,16.83,59.85,20.85,73.76,42.10,37.55,28.94,40.00,35.38,77.66,57.36,149.33,70.74,119.48,21.13,10.00,13.19,28.74,35.94,69.00,33.78,18.87,25.87,27.00,27.60,97.62,139.84,323.20,82.32,58.26,93.65,32.00,4.20,5.72,29.48,41.77,1.10,12.54,6.62,11.00,0,휴식 (Relax)
